DATE,VALUE
1909-07-01,3.4
1909-08-01,3.4
1909-09-01,3.4
1909-10-01,3.5
1909-11-01,3.56
1909-12-01,3.6
1910-01-01,3.6
1910-02-01,3.6
1910-03-01,3.6
1910-04-01,3.6
1910-05-01,3.6
1910-06-01,3.6
1910-07-01,3.6
1910-08-01,3.6
1910-09-01,3.6
1910-10-01,3.6
1910-11-01,3.6
1910-12-01,3.6
1911-01-01,3.6
1911-02-01,3.67
1911-03-01,3.7
1911-04-01,3.7
1911-05-01,3.7
1911-06-01,3.7
1911-07-01,3.7
1911-08-01,3.7
1911-09-01,3.67
1911-10-01,3.52
1911-11-01,3.4
1911-12-01,3.4
1912-01-01,3.4
1912-02-01,3.35
1912-03-01,3.3
1912-04-01,3.3
1912-05-01,3.33
1912-06-01,3.4
1912-07-01,3.43
1912-08-01,3.5
1912-09-01,3.58
1912-10-01,3.6
1912-11-01,3.6
1912-12-01,3.6
1913-01-01,3.6
1913-02-01,3.6
1913-03-01,3.6
1913-04-01,3.6
1913-05-01,3.6
1913-06-01,3.6
1913-07-01,3.6
1913-08-01,3.55
1913-09-01,3.5
1913-10-01,3.5
1913-11-01,3.4
1913-12-01,3.4
1914-01-01,3.32
1914-02-01,3.29
1914-03-01,3.3
1914-04-01,3.3
1914-05-01,3.3
1914-06-01,3.3
1914-07-01,3.27
1914-08-01,3.41
1914-09-01,3.35
1914-10-01,3.24
1914-11-01,3.15
1914-12-01,3.13
1915-01-01,3.1
1915-02-01,3.1
1915-03-01,3.25
1915-04-01,3.25
1915-05-01,3.15
1915-06-01,3.11
1915-07-01,3.1
1915-08-01,3.1
1915-09-01,3.15
1915-10-01,3.15
1915-11-01,3.28
1915-12-01,3.52
1916-01-01,3.75
1916-02-01,3.96
1916-03-01,4.19
1916-04-01,4.5
1916-05-01,5.3
1916-06-01,5.81
1916-07-01,6.0
1916-08-01,5.95
1916-09-01,5.75
1916-10-01,5.81
1916-11-01,5.97
1916-12-01,6.63
1917-01-01,7.0
1917-02-01,7.38
1917-03-01,8.0
1917-04-01,8.0
1917-05-01,8.4
1917-06-01,10.5
1917-07-01,12.0
1917-08-01,11.4
1917-09-01,12.0
1917-11-01,7.75
1917-12-01,7.75
1918-01-01,7.75
1918-02-01,7.75
1918-03-01,7.75
1918-04-01,7.75
1918-05-01,7.75
1918-06-01,7.75
1918-07-01,7.75
1918-08-01,7.75
1918-09-01,7.75
1918-10-01,7.75
1918-11-01,7.75
1918-12-01,7.55
1919-01-01,7.35
1919-02-01,7.35
1919-03-01,7.26
1919-04-01,7.0
1919-05-01,7.0
1919-06-01,7.0
1919-07-01,7.0
1919-08-01,7.0
1919-09-01,7.0
1919-10-01,7.0
1919-11-01,7.0
1919-12-01,7.0
1920-01-01,7.0
1920-02-01,7.0
1920-03-01,7.0
1920-04-01,7.0
1920-05-01,7.0
1920-06-01,7.0
1920-07-01,7.5
1920-08-01,9.0
1920-09-01,9.0
1920-10-01,8.33
1920-11-01,7.5
1920-12-01,7.0
1921-01-01,7.0
1921-02-01,7.0
1921-03-01,7.0
1921-04-01,6.44
1921-05-01,6.25
1921-06-01,6.25
1921-07-01,5.69
1921-08-01,5.25
1921-09-01,5.25
1921-10-01,5.13
1921-11-01,4.75
1921-12-01,4.73
1922-01-01,4.75
1922-02-01,4.71
1922-03-01,4.6
1922-04-01,4.75
1922-05-01,4.75
1922-06-01,4.75
1922-07-01,4.75
1922-08-01,4.75
1922-09-01,4.75
1922-10-01,4.75
1922-11-01,4.75
1922-12-01,4.75
1923-01-01,4.75
1923-02-01,4.8
1923-03-01,5.23
1923-04-01,6.0
1923-05-01,5.7
1923-06-01,5.5
1923-07-01,5.5
1923-08-01,5.5
1923-09-01,5.5
1923-10-01,5.5
1923-11-01,5.5
1923-12-01,5.5
1924-01-01,5.5
1924-02-01,5.5
1924-03-01,5.5
1924-04-01,5.5
1924-05-01,5.5
1924-06-01,5.5
1924-07-01,5.5
1924-08-01,5.5
1924-09-01,5.5
1924-10-01,5.5
1924-11-01,5.5
1924-12-01,5.5
1925-01-01,5.5
1925-02-01,5.5
1925-03-01,5.5
1925-04-01,5.5
1925-05-01,5.5
1925-06-01,5.5
1925-07-01,5.5
1925-08-01,5.5
1925-09-01,5.5
1925-10-01,5.5
1925-11-01,5.5
1925-12-01,5.5
1926-01-01,5.5
1926-02-01,5.5
1926-03-01,5.5
1926-04-01,5.5
1926-05-01,5.5
1926-06-01,5.5
1926-07-01,5.5
1926-08-01,5.5
1926-09-01,5.5
1926-10-01,5.5
1926-11-01,5.5
1926-12-01,5.5
1927-01-01,5.5
1927-02-01,5.5
1927-03-01,5.5
1927-04-01,5.5
1927-05-01,5.5
1927-06-01,5.5
1927-07-01,5.5
1927-08-01,5.5
1927-09-01,5.5
1927-10-01,5.5
1927-11-01,5.5
1927-12-01,5.25
1928-01-01,5.25
1928-02-01,5.25
1928-03-01,5.25
1928-04-01,5.25
1928-05-01,5.25
1928-06-01,5.25
1928-07-01,5.25
1928-08-01,5.25
1928-09-01,5.25
1928-10-01,5.25
1928-11-01,5.25
1928-12-01,5.25
1929-01-01,5.35
1929-02-01,5.35
1929-03-01,5.35
1929-04-01,5.35
1929-05-01,5.35
1929-06-01,5.35
1929-07-01,5.35
1929-08-01,5.35
1929-09-01,5.35
1929-10-01,5.35
1929-11-01,5.35
1929-12-01,5.35
1930-01-01,5.25
1930-02-01,5.25
1930-03-01,5.25
1930-04-01,5.25
1930-05-01,5.25
1930-06-01,5.25
1930-07-01,5.25
1930-08-01,5.25
1930-09-01,5.25
1930-10-01,5.0
1930-11-01,5.0
1930-12-01,5.0
1931-01-01,5.0
1931-02-01,5.0
1931-03-01,5.0
1931-04-01,5.0
1931-05-01,5.0
1931-06-01,5.0
1931-07-01,5.0
1931-08-01,5.0
1931-09-01,5.0
1931-10-01,4.75
1931-11-01,4.75
1931-12-01,4.75
1932-01-01,4.75
1932-02-01,4.75
1932-03-01,4.75
1932-04-01,4.75
1932-05-01,4.75
1932-06-01,4.75
1932-07-01,4.75
1932-08-01,4.75
1932-09-01,4.75
1932-10-01,4.75
1932-11-01,4.55
1932-12-01,4.25
1933-01-01,4.25
1933-02-01,4.25
1933-03-01,4.25
1933-04-01,4.25
1933-05-01,4.25
1933-06-01,4.25
1933-07-01,4.25
1933-08-01,4.25
1933-09-01,4.65
1933-10-01,4.65
1933-11-01,4.65
1933-12-01,5.25
1934-01-01,5.25
1934-02-01,5.25
1934-03-01,5.25
1934-04-01,5.25
1934-05-01,5.25
1934-06-01,5.25
1934-07-01,5.25
1934-08-01,5.25
1934-09-01,5.25
1934-10-01,5.25
1934-11-01,5.25
1934-12-01,5.25
1935-01-01,5.25
1935-02-01,5.25
1935-03-01,5.25
1935-04-01,5.25
1935-05-01,5.25
1935-06-01,5.25
1935-07-01,5.25
1935-08-01,5.25
1935-09-01,5.25
1935-10-01,5.25
1935-11-01,5.25
1935-12-01,5.25
1936-01-01,5.25
1936-02-01,5.25
1936-03-01,5.25
1936-04-01,5.25
1936-05-01,5.25
1936-06-01,5.25
1936-07-01,5.25
1936-08-01,5.25
1936-09-01,5.25
1936-10-01,5.25
1936-11-01,5.25
1936-12-01,5.25
1937-01-01,4.85
1937-02-01,4.85
1937-03-01,4.85
1937-04-01,5.35
1937-05-01,5.35
1937-06-01,5.35
1937-07-01,5.35
1937-08-01,5.35
1937-09-01,5.35
1937-10-01,5.35
1937-11-01,5.35
1937-12-01,5.35
1938-01-01,5.1
1938-02-01,5.1
1938-03-01,5.1
1938-04-01,5.1
1938-05-01,5.1
1938-06-01,5.1
1938-07-01,5.1
1938-08-01,5.1
1938-09-01,5.1
1938-10-01,5.1
1938-11-01,5.1
1938-12-01,5.0
1939-01-01,5.0
1939-02-01,5.0
1939-03-01,5.0
1939-04-01,5.0
1939-05-01,5.0
1939-06-01,5.0
1939-07-01,5.0
1939-08-01,5.0
1939-09-01,5.0
1939-10-01,5.0
1939-11-01,5.0
1939-12-01,5.0
1940-01-01,5.0
1940-02-01,5.0
1940-03-01,5.0
1940-04-01,5.0
1940-05-01,5.0
1940-06-01,5.0
1940-07-01,5.0
1940-08-01,5.0
1940-09-01,5.0
1940-10-01,5.0
1940-11-01,5.0
1940-12-01,5.0
1941-01-01,5.0
1941-02-01,5.0
1941-03-01,5.0
1941-04-01,5.0
1941-05-01,5.0
1941-06-01,5.0
1941-07-01,5.0
1941-08-01,5.0
1941-09-01,5.0
1941-10-01,5.0
1941-11-01,5.0
1941-12-01,5.0
1942-01-01,5.0
1942-02-01,5.0
1942-03-01,5.0
1942-04-01,5.0
1942-05-01,5.0
1942-06-01,5.0
1942-07-01,5.0
1942-08-01,5.0
1942-09-01,5.0
1942-10-01,5.0
1942-11-01,5.0
1942-12-01,5.0
1943-01-01,5.0
1943-02-01,5.0
1943-03-01,5.0
1943-04-01,5.0
1943-05-01,5.0
1943-06-01,5.0
1943-07-01,5.0
1943-08-01,5.0
1943-09-01,5.0
1943-10-01,5.0
1943-11-01,5.0
1943-12-01,5.0
1944-01-01,5.0
1944-02-01,5.0
1944-03-01,5.0
1944-04-01,5.0
1944-05-01,5.0
1944-06-01,5.0
1944-07-01,5.0
1944-08-01,5.0
1944-09-01,5.0
1944-10-01,5.0
1944-11-01,5.0
1944-12-01,5.0
1945-01-01,5.0
1945-02-01,5.0
1945-03-01,5.0
1945-04-01,5.0
1945-05-01,5.0
1945-06-01,5.0
1945-07-01,5.0
1945-08-01,5.0
1945-09-01,5.0
1945-10-01,5.0
1945-11-01,5.0
1945-12-01,5.0
1946-01-01,5.0
1946-02-01,5.0
1946-03-01,5.0
1946-04-01,5.0
1946-05-01,5.0
1946-06-01,5.0
1946-07-01,5.0
1946-08-01,5.0
1946-09-01,5.0
1946-10-01,5.0
1946-11-01,5.0
1946-12-01,5.0
1947-01-01,5.75
1947-02-01,5.75
1947-03-01,5.75
1947-04-01,5.75
1947-05-01,5.75
1947-06-01,5.75
1947-07-01,5.75
1947-08-01,5.75
1947-09-01,5.75
1947-10-01,5.75
1947-11-01,5.75
1947-12-01,5.75
1948-01-01,6.8
1948-02-01,6.8
1948-03-01,6.8
1948-04-01,6.8
1948-05-01,6.7
1948-06-01,6.7
1948-07-01,6.72
1948-08-01,6.8
1948-09-01,6.8
1948-10-01,6.8
1948-11-01,6.8
1948-12-01,6.8
1949-01-01,7.75
1949-02-01,7.75
1949-03-01,7.75
1949-04-01,7.75
1949-05-01,7.75
1949-06-01,7.75
1949-07-01,7.75
1949-08-01,7.75
1949-09-01,7.75
1949-10-01,7.75
1949-11-01,7.75
1949-12-01,7.75
1950-01-01,7.5
1950-02-01,7.5
1950-03-01,7.5
1950-04-01,7.5
1950-05-01,7.5
1950-06-01,7.5
1950-07-01,7.5
1950-08-01,7.5
1950-09-01,7.5
1950-10-01,7.5
1950-11-01,7.5
1950-12-01,7.5
1951-01-01,8.1
1951-02-01,8.7
1951-03-01,8.7
1951-04-01,8.7
1951-05-01,8.7
1951-06-01,8.7
1951-07-01,8.7
1951-08-01,8.7
1951-09-01,8.7
1951-10-01,8.7
1951-11-01,8.7
1951-12-01,8.7
1952-01-01,8.7
1952-02-01,8.7
1952-03-01,8.7
1952-04-01,8.7
1952-05-01,8.7
1952-06-01,8.7
1952-07-01,8.75
1952-08-01,8.95
1952-09-01,8.95
1952-10-01,8.95
1952-11-01,8.95
1952-12-01,8.95
1953-01-01,8.95
1953-02-01,8.95
1953-03-01,8.95
1953-04-01,8.95
1953-05-01,8.95
1953-06-01,8.95
1953-07-01,8.95
1953-08-01,8.95
1953-09-01,8.95
1953-10-01,8.95
1953-11-01,8.95
1953-12-01,8.95
1954-01-01,8.95
1954-02-01,8.95
1954-03-01,8.95
1954-04-01,8.95
1954-05-01,8.95
1954-06-01,8.95
1954-07-01,8.95
1954-08-01,8.95
1954-09-01,8.95
1954-10-01,9.05
1954-11-01,9.05
1954-12-01,9.05
1955-01-01,9.05
1955-02-01,9.05
1955-03-01,9.05
1955-04-01,9.05
1955-05-01,9.05
1955-06-01,9.05
1955-07-01,9.05
1955-08-01,9.05
1955-09-01,9.05
1955-10-01,9.45
1955-11-01,9.45
1955-12-01,9.45
