DATE,VALUE
2001-08-01,73.5
2001-09-01,73.6
2001-10-01,73.1
2001-11-01,73.5
2001-12-01,73.0
2002-01-01,74.1
2002-02-01,74.0
2002-03-01,74.6
2002-04-01,74.4
2002-05-01,75.0
2002-06-01,75.2
2002-07-01,75.4
2002-08-01,75.4
2002-09-01,75.5
2002-10-01,75.9
2002-11-01,75.6
2002-12-01,75.7
2003-01-01,75.6
2003-02-01,75.4
2003-03-01,75.4
2003-04-01,75.3
2003-05-01,76.5
2003-06-01,76.6
2003-07-01,76.8
2003-08-01,77.3
2003-09-01,77.2
2003-10-01,77.4
2003-11-01,77.5
2003-12-01,77.2
2004-01-01,77.1
2004-02-01,77.3
2004-03-01,77.4
2004-04-01,77.7
2004-05-01,77.7
2004-06-01,77.1
2004-07-01,76.8
2004-08-01,76.8
2004-09-01,77.3
2004-10-01,77.1
2004-11-01,76.9
2004-12-01,77.1
2005-01-01,76.3
2005-02-01,76.3
2005-03-01,76.1
2005-04-01,76.8
2005-05-01,76.1
2005-06-01,76.2
2005-07-01,76.6
2005-08-01,76.5
2005-09-01,76.9
2005-10-01,75.7
2005-11-01,76.0
2005-12-01,76.3
2006-01-01,77.4
2006-02-01,76.6
2006-03-01,76.6
2006-04-01,76.6
2006-05-01,76.0
2006-06-01,75.5
2006-07-01,76.2
2006-08-01,76.1
2006-09-01,75.8
2006-10-01,76.3
2006-11-01,76.7
2006-12-01,76.5
2007-01-01,76.7
2007-02-01,76.6
2007-03-01,76.9
2007-04-01,76.8
2007-05-01,76.7
2007-06-01,77.6
2007-07-01,76.3
2007-08-01,76.4
2007-09-01,76.3
2007-10-01,76.0
2007-11-01,76.5
2007-12-01,76.2
2008-01-01,76.9
2008-02-01,76.9
2008-03-01,77.0
2008-04-01,76.5
2008-05-01,77.2
2008-06-01,76.9
2008-07-01,76.5
2008-08-01,76.4
2008-09-01,75.9
2008-10-01,75.9
2008-11-01,75.4
2008-12-01,75.1
2009-01-01,74.7
2009-02-01,74.6
2009-03-01,74.3
2009-04-01,74.2
2009-05-01,74.3
2009-06-01,74.3
2009-07-01,74.4
2009-08-01,74.2
2009-09-01,74.6
2009-10-01,74.3
2009-11-01,74.1
2009-12-01,74.5
2010-01-01,74.7
2010-02-01,74.7
2010-03-01,74.2
2010-04-01,73.9
2010-05-01,73.8
2010-06-01,73.0
2010-07-01,73.8
2010-08-01,73.6
2010-09-01,75.0
2010-10-01,74.1
2010-11-01,74.1
2010-12-01,74.4
2011-01-01,74.1
2011-02-01,74.3
2011-03-01,74.3
2011-04-01,74.5
2011-05-01,73.5
2011-06-01,73.5
2011-07-01,74.3
2011-08-01,74.6
2011-09-01,74.3
2011-10-01,74.6
2011-11-01,75.0
2011-12-01,74.7
2012-01-01,75.1
2012-02-01,75.4
2012-03-01,75.8
2012-04-01,75.8
2012-05-01,75.2
2012-06-01,76.8
2012-07-01,76.2
2012-08-01,76.4
2012-09-01,76.3
2012-10-01,76.1
2012-11-01,76.2
2012-12-01,76.4
2013-01-01,76.7
2013-02-01,76.5
2013-03-01,76.8
2013-04-01,76.8
2013-05-01,76.8
2013-06-01,76.9
2013-07-01,76.8
2013-08-01,76.8
2013-09-01,77.0
2013-10-01,77.4
2013-11-01,76.8
2013-12-01,77.1
2014-01-01,76.8
2014-02-01,77.3
2014-03-01,77.4
2014-04-01,78.0
2014-05-01,78.1
2014-06-01,78.3
2014-07-01,78.2
2014-08-01,77.9
2014-09-01,77.9
2014-10-01,78.0
2014-11-01,78.3
2014-12-01,78.6
2015-01-01,78.0
2015-02-01,78.0
2015-03-01,77.6
2015-04-01,78.3
2015-05-01,79.1
2015-06-01,78.9
2015-07-01,79.6
2015-08-01,79.8
2015-09-01,79.7
2015-10-01,79.7
2015-11-01,80.0
2015-12-01,80.1
2016-01-01,80.9
2016-02-01,81.1
2016-03-01,81.2
2016-04-01,81.0
