DATE,VALUE
1998-01-01,120.6
1998-02-01,120.9
1998-03-01,121.6
1998-04-01,123.5
1998-05-01,124.5
1998-06-01,125.3
1998-07-01,124.0
1998-08-01,123.9
1998-09-01,125.2
1998-10-01,126.1
1998-11-01,127.4
1998-12-01,128.1
1999-01-01,124.2
1999-02-01,124.5
1999-03-01,125.7
1999-04-01,125.8
1999-05-01,127.0
1999-06-01,127.9
1999-07-01,126.3
1999-08-01,125.7
1999-09-01,127.4
1999-10-01,127.5
1999-11-01,128.7
1999-12-01,129.8
2000-01-01,125.9
2000-02-01,126.4
2000-03-01,128.6
2000-04-01,128.4
2000-05-01,129.5
2000-06-01,130.9
2000-07-01,129.1
2000-08-01,129.5
2000-09-01,130.8
2000-10-01,131.3
2000-11-01,132.3
2000-12-01,132.4
2001-01-01,128.4
2001-02-01,128.7
2001-03-01,129.5
2001-04-01,131.7
2001-05-01,132.5
2001-06-01,134.0
2001-07-01,130.4
2001-08-01,131.2
2001-09-01,132.6
2001-10-01,132.6
2001-11-01,133.6
2001-12-01,134.7
2002-01-01,130.6
2002-02-01,130.8
2002-03-01,132.1
2002-04-01,132.0
2002-05-01,133.0
2002-06-01,134.1
2002-07-01,131.1
2002-08-01,132.4
2002-09-01,133.9
2002-10-01,133.7
2002-11-01,134.5
2002-12-01,135.2
2003-01-01,130.3
2003-02-01,129.8
2003-03-01,130.2
2003-04-01,130.7
2003-05-01,131.5
2003-06-01,131.3
2003-07-01,128.2
2003-08-01,127.7
2003-09-01,129.7
2003-10-01,130.0
2003-11-01,130.6
2003-12-01,131.4
2004-01-01,126.6
2004-02-01,126.1
2004-03-01,127.9
2004-04-01,128.7
2004-05-01,130.0
2004-06-01,131.3
2004-07-01,128.7
2004-08-01,128.8
2004-09-01,128.9
2004-10-01,128.4
2004-11-01,130.0
2004-12-01,130.2
2005-01-01,127.0
2005-02-01,127.5
2005-03-01,128.3
2005-04-01,129.8
2005-05-01,130.6
2005-06-01,131.4
2005-07-01,129.9
2005-08-01,130.4
2005-09-01,131.8
2005-10-01,131.8
2005-11-01,133.2
2005-12-01,133.6
2006-01-01,130.7
2006-02-01,130.8
2006-03-01,132.1
2006-04-01,132.0
2006-05-01,132.6
2006-06-01,134.8
2006-07-01,132.8
2006-08-01,132.6
2006-09-01,133.7
2006-10-01,134.6
2006-11-01,135.9
2006-12-01,136.4
2007-01-01,133.3
2007-02-01,133.0
2007-03-01,134.6
2007-04-01,134.6
2007-05-01,135.9
2007-06-01,137.3
2007-07-01,134.7
2007-08-01,134.8
2007-09-01,135.4
2007-10-01,136.1
2007-11-01,137.0
2007-12-01,137.1
2008-01-01,134.2
2008-02-01,134.2
2008-03-01,134.9
2008-04-01,134.7
2008-05-01,135.8
2008-06-01,136.6
2008-07-01,133.4
2008-08-01,134.3
2008-09-01,135.5
2008-10-01,135.7
2008-11-01,136.0
2008-12-01,135.8
2009-01-01,131.8
2009-02-01,131.5
2009-03-01,131.4
2009-04-01,131.3
2009-05-01,132.2
2009-06-01,133.0
2009-07-01,129.2
2009-08-01,129.0
2009-09-01,130.7
2009-10-01,131.0
2009-11-01,131.8
2009-12-01,131.5
2010-01-01,128.6
2010-02-01,128.3
2010-03-01,129.4
2010-04-01,131.4
2010-05-01,132.6
2010-06-01,133.3
2010-07-01,130.1
2010-08-01,129.4
2010-09-01,130.4
2010-10-01,132.0
2010-11-01,132.3
2010-12-01,132.1
2011-01-01,129.1
2011-02-01,129.7
2011-03-01,130.5
2011-04-01,131.6
2011-05-01,131.6
2011-06-01,132.6
2011-07-01,130.8
2011-08-01,132.0
2011-09-01,132.9
2011-10-01,132.5
2011-11-01,133.5
2011-12-01,133.3
2012-01-01,130.7
2012-02-01,131.2
2012-03-01,132.6
2012-04-01,132.8
2012-05-01,133.7
2012-06-01,133.4
2012-07-01,132.2
2012-08-01,133.4
2012-09-01,133.9
2012-10-01,134.0
2012-11-01,135.3
2012-12-01,135.3
2013-01-01,132.0
2013-02-01,133.1
2013-03-01,133.9
2013-04-01,134.4
2013-05-01,135.0
2013-06-01,134.4
2013-07-01,133.9
2013-08-01,134.6
2013-09-01,135.8
2013-10-01,135.9
2013-11-01,137.0
2013-12-01,136.8
2014-01-01,134.4
2014-02-01,134.1
2014-03-01,135.3
2014-04-01,136.2
2014-05-01,136.8
2014-06-01,136.6
2014-07-01,134.6
2014-08-01,135.2
2014-09-01,136.5
2014-10-01,136.1
2014-11-01,137.4
2014-12-01,137.6
2015-01-01,134.4
2015-02-01,134.4
2015-03-01,134.9
2015-04-01,135.6
2015-05-01,136.3
2015-06-01,135.9
2015-07-01,135.0
2015-08-01,135.7
2015-09-01,136.6
2015-10-01,137.4
2015-11-01,139.1
2015-12-01,139.1
2016-01-01,136.6
2016-02-01,136.7
2016-03-01,136.9
2016-04-01,138.2
2016-05-01,137.9
