DATE,VALUE
1895-03-01 00:00:00,1.28
1895-04-01 00:00:00,1.28
1895-05-01 00:00:00,1.23
1895-06-01 00:00:00,1.23
1895-07-01 00:00:00,1.23
1895-08-01 00:00:00,1.44
1895-09-01 00:00:00,1.44
1895-10-01 00:00:00,1.44
1895-11-01 00:00:00,1.44
1895-12-01 00:00:00,1.44
1896-01-01 00:00:00,1.44
1896-02-01 00:00:00,1.44
1896-03-01 00:00:00,1.44
1896-04-01 00:00:00,1.44
1896-05-01 00:00:00,1.44
1896-06-01 00:00:00,1.44
1896-07-01 00:00:00,1.47
1896-08-01 00:00:00,1.47
1896-09-01 00:00:00,1.69
1896-10-01 00:00:00,1.69
1896-11-01 00:00:00,1.88
1896-12-01 00:00:00,2.38
1897-01-01 00:00:00,2.38
1897-02-01 00:00:00,1.69
1897-03-01 00:00:00,1.56
1897-04-01 00:00:00,1.56
1897-05-01 00:00:00,1.78
1897-06-01 00:00:00,1.78
1897-07-01 00:00:00,1.78
1897-08-01 00:00:00,2.0
1897-09-01 00:00:00,2.14
1897-10-01 00:00:00,2.14
1897-11-01 00:00:00,2.25
1897-12-01 00:00:00,2.5
1898-01-01 00:00:00,2.5
1898-02-01 00:00:00,2.21
1898-03-01 00:00:00,2.21
1898-04-01 00:00:00,2.09
1898-05-01 00:00:00,2.21
1898-06-01 00:00:00,2.32
1898-07-01 00:00:00,2.32
1898-08-01 00:00:00,2.32
1898-09-01 00:00:00,2.48
1898-10-01 00:00:00,2.48
1898-11-01 00:00:00,2.48
1898-12-01 00:00:00,2.48
1899-01-01 00:00:00,2.48
1899-02-01 00:00:00,2.21
1899-03-01 00:00:00,2.09
1899-04-01 00:00:00,1.98
1899-05-01 00:00:00,2.36
1899-06-01 00:00:00,2.48
1899-07-01 00:00:00,2.48
1899-08-01 00:00:00,2.32
1899-09-01 00:00:00,2.48
1899-10-01 00:00:00,2.48
1899-11-01 00:00:00,2.79
1899-12-01 00:00:00,2.64
1900-01-01,1.86
1900-02-01,1.86
1900-03-01,1.86
1900-04-01,2.09
1900-05-01,2.09
1900-06-01,2.65
1900-07-01,2.65
1900-08-01,2.65
1900-09-01,2.65
1900-10-01,2.64
1900-11-01,2.48
1900-12-01,2.35
1901-01-01,2.35
1901-02-01,2.55
1901-03-01,3.27
1901-04-01,3.82
1901-05-01,3.36
1901-06-01,3.63
1901-07-01,3.63
1901-08-01,3.63
1901-09-01,3.63
1901-10-01,3.63
1901-11-01,3.63
1901-12-01,2.23
1902-01-01,2.23
1902-02-01,2.3
1902-03-01,2.23
1902-04-01,2.42
1902-05-01,2.8
1902-06-01,2.8
1902-07-01,2.66
1902-08-01,2.66
1902-09-01,2.66
1902-10-01,2.66
1902-11-01,2.66
1902-12-01,2.66
1903-01-01,2.11
1903-02-01,2.11
1903-03-01,2.11
1903-04-01,2.11
1903-05-01,2.11
1903-06-01,2.11
1903-07-01,2.11
1903-08-01,2.11
1903-09-01,2.11
1903-10-01,2.11
1903-11-01,2.43
1903-12-01,2.43
1904-01-01,2.43
1904-02-01,2.43
1904-03-01,2.43
1904-04-01,2.43
1904-05-01,2.43
1904-06-01,2.43
1904-07-01,2.43
1904-08-01,2.43
1904-09-01,2.12
1904-10-01,2.12
1904-11-01,2.12
1904-12-01,2.12
1905-01-01,2.12
1905-02-01,2.12
1905-03-01,2.0
1905-04-01,2.0
1905-05-01,2.0
1905-06-01,2.0
1905-07-01,2.0
1905-08-01,2.5
1905-09-01,2.25
1905-10-01,2.25
1905-11-01,2.25
1905-12-01,2.14
1906-01-01,2.14
1906-02-01,2.14
1906-03-01,2.14
1906-04-01,2.14
1906-05-01,2.14
1906-06-01,2.14
1906-07-01,2.38
1906-08-01,2.38
1906-09-01,2.38
1906-10-01,2.38
1906-11-01,2.38
1906-12-01,2.38
1907-01-01,2.3
1907-02-01,2.3
1907-03-01,2.3
1907-04-01,2.3
1907-05-01,2.3
1907-06-01,2.3
1907-07-01,2.3
1907-08-01,2.17
1907-09-01,2.17
1907-10-01,2.17
1907-11-01,2.17
1907-12-01,2.17
1908-01-01,2.17
1908-02-01,1.78
1908-03-01,2.04
1908-04-01,2.04
1908-05-01,1.53
1908-06-01,1.53
1908-07-01,1.53
1908-08-01,1.91
1908-09-01,2.04
1908-10-01,2.04
1908-11-01,1.91
1908-12-01,2.04
1909-01-01,2.04
1909-02-01,1.91
1909-03-01,1.91
1909-04-01,1.78
1909-05-01,1.78
1909-06-01,1.78
1909-07-01,1.78
1909-08-01,1.78
1909-09-01,1.78
1909-10-01,1.78
1909-11-01,1.91
1909-12-01,1.91
1910-01-01,2.3
1910-02-01,2.3
1910-03-01,2.3
1910-04-01,2.42
1910-05-01,2.3
1910-06-01,2.3
1910-07-01,2.42
1910-08-01,2.42
1910-09-01,2.42
1910-10-01,2.3
1910-11-01,2.3
1910-12-01,2.3
1911-01-01,2.04
1911-02-01,2.04
1911-03-01,2.04
1911-04-01,2.04
1911-05-01,1.78
1911-06-01,1.66
1911-07-01,1.66
1911-08-01,1.66
1911-09-01,1.66
1911-10-01,1.66
1911-11-01,1.66
1911-12-01,1.66
1912-01-01,1.66
1912-02-01,1.66
1912-03-01,1.66
1912-04-01,1.66
1912-05-01,1.66
1912-06-01,1.66
1912-07-01,1.91
1912-08-01,1.91
1912-09-01,1.91
1912-10-01,1.91
1912-11-01,1.91
1912-12-01,1.91
1913-01-01,2.27
1913-02-01,2.27
1913-03-01,2.27
1913-04-01,2.27
1913-05-01,2.27
1913-06-01,2.27
1913-07-01,2.17
1913-08-01,2.17
1913-09-01,2.17
1913-10-01,2.17
1913-11-01,2.17
1913-12-01,2.17
1914-01-01,2.17
1914-02-01,2.17
1914-03-01,2.17
1914-04-01,2.17
1914-05-01,2.17
1914-06-01,2.17
1914-07-01,2.17
1914-08-01,2.17
1914-09-01,2.17
1914-10-01,2.17
1914-11-01,2.17
1914-12-01,2.17
1915-01-01,2.42
1915-02-01,2.42
1915-03-01,2.42
1915-04-01,2.42
1915-05-01,2.42
1915-06-01,2.42
1915-07-01,2.42
1915-08-01,2.42
1915-09-01,2.42
1915-10-01,2.42
1915-11-01,2.42
1915-12-01,2.42
1916-01-01,2.28
1916-02-01,2.28
1916-03-01,2.28
1916-04-01,2.56
1916-05-01,2.56
1916-06-01,2.56
1916-07-01,2.56
1916-08-01,2.56
1916-09-01,2.56
1916-10-01,2.56
1916-11-01,2.56
1916-12-01,2.56
1917-01-01,2.85
1917-02-01,2.85
1917-03-01,2.85
1917-04-01,2.85
1917-05-01,2.85
1917-06-01,3.42
1917-07-01,3.42
1917-08-01,3.42
1917-09-01,3.42
1917-10-01,3.42
1917-11-01,4.28
1917-12-01,4.28
1918-01-01,4.28
1918-02-01,4.63
1918-03-01,4.98
1918-04-01,4.98
1918-05-01,4.98
1918-06-01,5.7
1918-07-01,5.7
1918-08-01,6.56
1918-09-01,6.56
1918-10-01,6.56
1918-11-01,6.56
1918-12-01,6.56
1919-01-01,6.56
1919-02-01,6.56
1919-03-01,6.56
1919-04-01,5.7
1919-05-01,5.7
1919-06-01,5.7
1919-07-01,5.7
1919-08-01,6.04
1919-09-01,6.56
1919-10-01,6.56
1919-11-01,6.56
1919-12-01,6.56
1920-01-01,6.56
1920-02-01,6.56
1920-03-01,6.56
1920-04-01,6.56
1920-05-01,6.56
1920-06-01,6.56
1920-07-01,6.56
1920-08-01,6.56
1920-09-01,6.56
1920-10-01,6.56
1920-11-01,6.56
1920-12-01,6.56
1921-01-01,6.55
1921-02-01,6.55
1921-03-01,6.55
1921-04-01,6.55
1921-05-01,5.13
1921-06-01,5.13
1921-07-01,5.13
1921-08-01,5.13
1921-09-01,5.13
1921-10-01,5.13
1921-11-01,5.13
1921-12-01,5.13
1922-01-01,4.28
1922-02-01,3.42
1922-03-01,3.42
1922-04-01,3.42
1922-05-01,3.42
1922-06-01,3.42
1922-07-01,3.42
1922-08-01,3.42
1922-09-01,3.42
1922-10-01,3.47
1922-11-01,3.61
1922-12-01,3.61
1923-01-01,3.61
1923-02-01,3.61
1923-03-01,3.61
1923-04-01,3.61
1923-05-01,3.61
1923-06-01,3.61
1923-07-01,3.61
1923-08-01,3.61
1923-09-01,3.61
1923-10-01,3.61
1923-11-01,3.61
1923-12-01,3.61
1924-01-01,3.61
1924-02-01,3.61
1924-03-01,3.61
1924-04-01,3.61
1924-05-01,3.61
1924-06-01,3.61
1924-07-01,3.61
1924-08-01,3.25
1924-09-01,3.25
1924-10-01,3.25
1924-11-01,3.25
1924-12-01,3.25
1925-01-01,3.25
1925-02-01,3.25
1925-03-01,3.25
1925-04-01,3.25
1925-05-01,3.2
1925-06-01,2.98
1925-07-01,2.98
1925-08-01,2.98
1925-09-01,2.98
1925-10-01,2.98
1925-11-01,2.98
1925-12-01,3.07
1926-01-01,3.07
1926-02-01,3.07
1926-03-01,3.07
1926-04-01,3.07
1926-05-01,3.07
1926-06-01,3.07
1926-07-01,3.07
1926-08-01,3.07
1926-09-01,3.07
1926-10-01,3.07
1926-11-01,3.32
1926-12-01,3.32
1927-01-01,3.14
1927-02-01,3.14
1927-03-01,3.14
1927-04-01,3.14
1927-05-01,3.14
1927-06-01,3.14
1927-07-01,3.14
1927-08-01,3.14
1927-09-01,2.74
1927-10-01,2.74
1927-11-01,2.69
1927-12-01,2.56
1928-01-01,2.56
1928-02-01,2.56
1928-03-01,2.56
1928-04-01,2.56
1928-05-01,3.14
1928-06-01,3.14
1928-07-01,3.28
1928-08-01,3.42
1928-09-01,3.42
1928-10-01,3.42
1928-11-01,3.42
1928-12-01,3.42
1929-01-01,3.42
1929-02-01,3.42
1929-03-01,3.42
1929-04-01,3.42
1929-05-01,3.42
1929-06-01,3.42
1929-07-01,3.42
1929-08-01,3.42
1929-09-01,3.42
1929-10-01,3.42
1929-11-01,3.42
1929-12-01,3.42
1930-01-01,3.42
1930-02-01,3.42
1930-03-01,3.42
1930-04-01,3.42
1930-05-01,3.42
1930-06-01,3.42
1930-07-01,3.42
1930-08-01,3.42
1930-09-01,3.42
1930-10-01,3.42
1930-11-01,3.42
1930-12-01,3.42
1931-01-01,2.28
1931-02-01,2.28
1931-03-01,2.28
1931-04-01,2.28
1931-05-01,2.14
1931-06-01,1.94
1931-07-01,1.94
1931-08-01,1.94
1931-09-01,1.94
1931-10-01,1.94
1931-11-01,1.94
1931-12-01,1.94
1932-01-01,1.94
1932-02-01,1.94
1932-03-01,2.19
1932-04-01,2.19
1932-05-01,2.19
1932-06-01,2.19
1932-07-01,2.19
1932-08-01,2.19
1932-09-01,2.19
1932-10-01,2.19
1932-11-01,2.19
1932-12-01,2.19
1933-01-01,2.19
1933-02-01,2.19
1933-03-01,2.19
1933-04-01,2.19
1933-05-01,2.19
1933-06-01,2.19
1933-07-01,2.37
1933-08-01,2.41
1933-09-01,2.41
1933-10-01,2.41
1933-11-01,2.41
1933-12-01,2.41
