DATE,VALUE
1999-04-01,99.6
1999-05-01,99.1
1999-06-01,99.6
1999-07-01,96.9
1999-08-01,97.0
1999-09-01,98.9
1999-10-01,99.1
1999-11-01,100.0
1999-12-01,100.3
2000-01-01,98.6
2000-02-01,98.9
2000-03-01,100.0
2000-04-01,100.9
2000-05-01,101.2
2000-06-01,101.5
2000-07-01,97.6
2000-08-01,98.3
2000-09-01,101.0
2000-10-01,101.4
2000-11-01,101.6
2000-12-01,102.0
2001-01-01,100.0
2001-02-01,100.4
2001-03-01,101.5
2001-04-01,102.4
2001-05-01,103.1
2001-06-01,103.0
2001-07-01,98.5
2001-08-01,99.7
2001-09-01,101.1
2001-10-01,101.1
2001-11-01,101.4
2001-12-01,101.6
2002-01-01,99.9
2002-02-01,100.6
2002-03-01,101.1
2002-04-01,101.9
2002-05-01,102.4
2002-06-01,102.4
2002-07-01,99.3
2002-08-01,100.2
2002-09-01,101.2
2002-10-01,100.6
2002-11-01,101.3
2002-12-01,101.6
2003-01-01,98.7
2003-02-01,98.2
2003-03-01,98.8
2003-04-01,99.3
2003-05-01,99.3
2003-06-01,98.5
2003-07-01,96.6
2003-08-01,97.0
2003-09-01,97.7
2003-10-01,96.5
2003-11-01,96.6
2003-12-01,97.1
2004-01-01,96.4
2004-02-01,96.4
2004-03-01,97.4
2004-04-01,98.6
2004-05-01,98.2
2004-06-01,98.6
2004-07-01,95.2
2004-08-01,96.4
2004-09-01,97.1
2004-10-01,96.6
2004-11-01,97.0
2004-12-01,97.3
2005-01-01,95.3
2005-02-01,95.8
2005-03-01,96.5
2005-04-01,97.0
2005-05-01,97.2
2005-06-01,96.9
2005-07-01,94.5
2005-08-01,94.5
2005-09-01,95.8
2005-10-01,95.5
2005-11-01,95.8
2005-12-01,96.7
2006-01-01,93.9
2006-02-01,94.9
2006-03-01,95.8
2006-04-01,95.4
2006-05-01,95.8
2006-06-01,96.8
2006-07-01,92.9
2006-08-01,93.5
2006-09-01,95.8
2006-10-01,96.1
2006-11-01,96.8
2006-12-01,97.6
2007-01-01,95.0
2007-02-01,95.6
2007-03-01,96.7
2007-04-01,97.4
2007-05-01,98.0
2007-06-01,98.2
2007-07-01,96.0
2007-08-01,95.7
2007-09-01,97.6
2007-10-01,97.3
2007-11-01,98.0
2007-12-01,97.7
2008-01-01,96.2
2008-02-01,97.2
2008-03-01,97.5
2008-04-01,98.9
2008-05-01,99.5
2008-06-01,99.2
2008-07-01,96.3
2008-08-01,96.5
2008-09-01,98.6
2008-10-01,98.8
2008-11-01,98.7
2008-12-01,99.0
2009-01-01,96.3
2009-02-01,96.7
2009-03-01,96.7
2009-04-01,98.1
2009-05-01,97.9
2009-06-01,97.5
2009-07-01,94.1
2009-08-01,94.2
2009-09-01,96.3
2009-10-01,96.5
2009-11-01,96.7
2009-12-01,96.6
2010-01-01,95.7
2010-02-01,96.5
2010-03-01,96.9
2010-04-01,98.2
2010-05-01,98.7
2010-06-01,98.4
2010-07-01,95.5
2010-08-01,95.9
2010-09-01,96.7
2010-10-01,98.0
2010-11-01,97.5
2010-12-01,97.6
2011-01-01,96.0
2011-02-01,96.3
2011-03-01,97.3
2011-04-01,98.1
2011-05-01,98.1
2011-06-01,96.5
2011-07-01,94.6
2011-08-01,95.2
2011-09-01,97.1
2011-10-01,96.8
2011-11-01,96.9
2011-12-01,96.9
2012-01-01,95.7
2012-02-01,95.9
2012-03-01,97.0
2012-04-01,97.1
2012-05-01,97.5
2012-06-01,96.3
2012-07-01,93.8
2012-08-01,95.0
2012-09-01,96.1
2012-10-01,96.9
2012-11-01,97.3
2012-12-01,97.3
2013-01-01,96.0
2013-02-01,96.4
2013-03-01,96.5
2013-04-01,97.1
2013-05-01,97.6
2013-06-01,97.8
2013-07-01,95.6
2013-08-01,96.0
2013-09-01,97.1
2013-10-01,98.0
2013-11-01,98.3
2013-12-01,97.7
2014-01-01,95.9
2014-02-01,96.3
2014-03-01,96.7
2014-04-01,98.1
2014-05-01,98.5
2014-06-01,98.5
2014-07-01,98.1
2014-08-01,97.9
2014-09-01,97.8
2014-10-01,98.3
2014-11-01,98.6
2014-12-01,98.3
2015-01-01,96.6
2015-02-01,97.3
2015-03-01,97.1
2015-04-01,98.1
2015-05-01,98.7
2015-06-01,99.1
2015-07-01,98.4
2015-08-01,98.4
2015-09-01,98.0
2015-10-01,98.8
2015-11-01,97.9
2015-12-01,97.4
2016-01-01,95.9
2016-02-01,96.8
2016-03-01,97.0
2016-04-01,97.8
